date,days,avgCwtX1,avgCwtX2,avgCwtX3,avgCwtX4,avgCwtX5,avgCwtX6,avgCwtX7,avgCwtX8,avgCwtX9,avgCwtX10,avgCwtX11,avgCwtX12,avgCwtX13,avgCwtX14,avgCwtX15,avgCwtX16,avgCwtX17,avgCwtX18,avgCwtX19,avgCwtX20,waterColY
07/06/2017,6,225.5218217,278.381524,314.8634262,329.6505354,325.2929421,306.6795639,275.8585079,233.6037589,183.803705,133.8677853,91.89550634,61.14648899,39.33532461,23.76844316,13.4258303,8.046921672,6.570337072,6.663823691,6.755669382,6.601544774,6.4093
08/06/2017,7,242.3421543,294.8830782,328.5376691,339.2872081,331.2025482,309.1260923,273.6973289,225.6744295,170.272747,116.195234,71.86195465,41.31347636,23.30498355,13.79570892,9.0765675,6.865030561,5.913533541,5.478778703,5.243745907,5.335151386,6.4228
09/06/2017,8,244.7030032,299.7278826,335.8643682,348.428013,341.8430942,321.7149108,288.6694216,242.5034854,187.758266,133.5894703,88.76617895,56.30663733,34.31827704,19.7713136,11.0284481,6.784964303,5.329051884,5.077703762,4.9989145,4.876241527,6.4247
10/06/2017,9,306.7102079,375.9513468,422.0130923,439.0496573,431.9883759,407.8277887,368.0924452,313.5816465,249.792166,185.7138293,130.4958938,88.36095981,57.84417736,36.4244769,22.88896154,16.31469109,14.25510608,13.82618293,13.23508982,12.19763991,6.4323
11/06/2017,10,271.7344875,331.4438789,370.5322637,384.3099277,376.8398504,353.4624865,315.6798598,264.6143309,205.4686321,147.8562668,100.8157029,66.97198912,43.61145868,27.50898202,16.74550261,10.71270756,8.453090074,8.042050581,8.023277706,7.988691241,6.4515
12/06/2017,11,260.7279047,326.3253445,373.3994055,393.5492188,390.1240825,372.2291126,342.5304633,299.5071671,245.5524693,188.5939151,137.7471789,97.60580855,67.4887558,45.31331568,30.34602605,21.60587032,16.87018897,13.82336252,11.04082858,8.560572002,6.4553
13/06/2017,12,249.4586552,313.9351666,361.9609476,385.3290621,385.4992713,369.5290542,341.0440714,299.6280298,247.546328,192.2113128,142.5643685,102.4119085,69.6532916,43.86733698,26.40768817,17.72511678,15.80156637,16.1549309,15.51450234,13.1362352,6.4611
14/06/2017,13,256.0949281,317.3361318,359.999671,377.6666603,373.6400688,354.7434772,323.3342134,279.0426028,225.0710043,169.8533108,121.8976933,84.62060943,56.3826429,34.86003146,19.70534327,11.30185843,8.183201497,7.369192409,6.841488488,6.280328124,6.4745
15/06/2017,14,258.5843146,321.1588751,365.2501991,383.6737257,379.2200739,359.3098515,327.414351,284.7636724,236.0183918,188.6630692,148.5786003,116.0515343,87.35926929,61.93972624,42.51135486,31.10893013,25.56028376,21.80073685,18.04646001,14.46089432,6.4783
16/06/2017,15,227.8082331,286.8466459,330.7200082,351.9176821,352.0809082,337.8982421,312.3042199,274.7234364,226.8236016,174.0895823,124.0763239,83.47326777,53.77793579,32.96513287,19.372386,11.96727958,9.236884975,8.521463064,7.828605658,6.937203846,6.4898
17/06/2017,16,265.5025027,332.475278,382.2282093,406.7839452,407.2587215,389.2193329,355.483235,307.7637776,251.3749008,195.6885783,148.2908755,110.2409892,79.13972774,53.2174741,33.37931287,21.3030102,16.00636284,14.30907993,13.56034968,12.907251,6.5013
18/06/2017,17,263.5611492,326.1134291,369.5693712,387.8698213,384.5259947,365.5953212,332.9292529,287.0260831,232.1238743,176.5669451,127.8432043,88.87533411,59.68922442,39.4194228,26.7426338,20.09985148,17.21872202,15.66965338,14.00130707,12.24070374,6.5033
19/06/2017,18,214.7072323,277.2629384,328.2540502,357.8306432,364.4630478,353.9971286,331.1587247,295.8793791,249.8534622,199.8841781,154.7075908,118.1122928,87.01597174,59.25921802,36.96772345,22.76620345,16.0300972,13.1378988,11.22674662,9.596711143,6.5167
20/06/2017,19,235.9639586,299.3736786,348.0707315,373.7012989,377.3646429,365.2031602,338.914461,297.0814857,243.2811614,187.6374363,140.6843629,105.2752733,76.4943454,50.32314669,28.91221601,15.42423117,9.751619328,8.417723978,8.005231721,7.602215209,6.5282
21/06/2017,20,231.7775186,295.7414454,347.5087933,378.1240565,385.863511,374.892303,349.0020575,310.1604498,262.5747107,213.0802549,167.5302461,128.0223241,93.60758044,64.25484181,42.47782156,30.00728735,24.68131148,22.22494646,19.77568844,17.1238908,6.563032098
22/06/2017,21,252.1616237,319.1293948,370.9579232,399.8199674,406.273046,395.0055566,369.1569377,329.9850588,283.5819954,239.2963705,201.6645768,166.9168219,130.6363027,93.63499706,61.0594177,37.4747446,24.01256077,18.14146807,15.41370694,12.80240464,6.564355616
23/06/2017,22,228.6204688,290.8609346,339.7827167,367.1020696,372.5482562,360.8103463,334.6352669,295.3631089,247.359332,198.1942322,154.5979901,118.1676264,86.14628544,57.70716271,35.77621187,22.71835883,17.42826327,15.41511221,13.80860096,12.13090232,6.568034066
24/06/2017,23,236.6999173,298.4000321,345.7710433,371.0788619,374.2438241,359.4306943,329.9727308,288.7488882,241.3657623,194.91924,153.7920271,118.7962038,88.09370382,60.89423212,39.36228489,25.38561915,17.88406486,13.96961774,11.44407846,9.883245159,6.579714408
25/06/2017,24,262.0842181,329.7496019,380.8216338,407.166285,410.3309899,396.3767937,366.9810482,321.1411959,261.8377193,198.0550562,141.918635,100.3573626,69.22546592,44.14124472,25.55483576,15.26347451,12.28177881,12.40003602,12.34359155,11.57878937,6.597200816
26/06/2017,25,274.9255697,340.3797199,386.1820376,406.0583706,403.4035687,383.8766039,349.2290951,301.1629294,245.7866487,190.8768326,142.0374867,101.4078866,68.50921212,43.31233984,26.6901764,18.53500254,16.09363326,14.91109942,13.15238565,11.02762872,6.597200816
27/06/2017,26,231.0329218,294.6579252,344.9531043,373.0636563,378.5619031,366.5582487,340.2413278,299.6270603,247.8931494,192.3647737,141.6384355,101.0884654,70.03043414,45.41132912,26.84332075,15.91793278,11.84453092,11.22796409,11.13641875,10.59753899,6.607898962
28/06/2017,27,218.4996706,279.9241989,329.0952577,356.7813893,362.0267144,350.3373128,325.7976232,288.8114628,241.8851606,192.1824031,148.5207208,113.1070974,81.25976352,51.76067096,28.40450658,15.00383834,10.38739194,9.618450518,9.097330802,8.08163161,6.618244002
29/06/2017,28,259.3781697,324.748194,373.2980377,397.7215743,399.5325199,383.8647231,353.2379139,309.0120169,256.0615512,201.9413559,153.7550609,114.1720114,81.44726004,54.75557687,35.19841861,23.64679706,18.66586223,17.0347538,15.82348465,14.24810034,6.629607299
30/06/2017,29,244.6987052,308.1465904,356.1385151,380.4423855,381.8914303,366.7972413,338.9102893,299.7029901,252.7394617,203.4629727,158.0978168,119.4112601,86.65577693,59.54427154,39.55055014,27.25324007,20.55965127,16.62276463,13.77508244,12.08164861,6.64735008
01/07/2017,30,294.3954155,358.4190395,401.6317988,419.663953,415.5543749,393.2026946,354.710709,304.6063431,251.4344257,202.8469102,162.0273264,127.6624104,97.95508017,72.69740885,52.59953606,38.44705513,29.56916193,23.71170522,19.27682234,16.37168949,6.65607439
